Wages_Tips_Other_Compensation,Federal_Income_Tax_Withheld,Other_Income,Rents,Total_Income_W2,Appraised_Value,Borrower_Total_Income,Base,Overtime,Bonus,Commission,Mortgage_Amount
61516,4456,1701,1766,65747,260177,87035,2688,1254,1789,1185,300134
44779,5774,1892,1402,53817,293045,57216,3585,1854,1555,1516,462136
68181,6496,1225,1155,62035,335067,71129,2811,1959,1771,1239,424198
67326,6734,2853,1233,71035,256773,51917,2139,2753,715,1091,396520
59918,6395,2123,1478,55780,291694,68089,3527,2617,843,1610,597529
48377,6662,1081,1081,89314,303782,58663,3224,1158,842,1025,320498
46222,3416,2859,1423,79040,274697,84133,3930,1359,1214,707,394669
47296,3024,2463,1145,52581,406923,57873,3258,2356,1209,1465,561259
65740,5450,1924,1344,81744,305141,78544,2944,2198,728,973,474219
75812,4234,1375,1025,58831,448329,77426,3345,2441,864,1851,611432
48268,5866,1209,1196,79821,373008,83949,2278,1315,698,1471,323868
50916,6765,1608,1625,57806,251742,51238,3087,2478,1903,510,494305
58298,4494,1498,1340,88161,474510,68818,3895,1042,1480,616,414812
66448,4322,2468,1111,80754,450017,80113,3321,2680,1899,1187,656669
65689,3252,1817,1304,88617,478455,70961,3103,2464,1677,861,590408
76993,3135,2296,1483,73321,387616,75858,2565,2018,724,867,433871
72977,5226,1540,1542,84720,398970,69486,2533,1049,1506,962,293262
49317,5527,1199,1281,74130,387176,62777,2664,1288,737,1100,336511
61563,6718,2352,1002,55444,352511,77912,2038,2304,1624,1895,395821
74265,4819,1158,1126,75558,418504,51373,2066,1831,864,1619,372615
66002,6608,1349,1573,55020,341008,58443,2196,2903,1671,1688,470420
75743,4939,1882,1159,68682,391691,69992,3029,2047,957,1844,475755
49907,6134,1702,1667,69970,282268,57311,2300,1770,1318,1574,337121
54729,4123,2870,1013,57870,322433,60658,3438,2336,1390,1512,541844
61720,3015,1884,1832,77337,271234,76524,2080,2180,702,1633,344736
76919,4861,2680,1683,63784,429086,85579,3770,2249,512,1313,606495
50591,6225,2522,1750,80602,461491,73259,2964,1968,576,1046,488275
53457,4748,2748,1966,51693,441596,56818,3299,2399,1770,1650,575412
79041,4241,1856,1025,50993,456637,89247,3161,1772,965,603,478463
48109,4313,1011,1740,74939,297091,72873,3744,1933,1309,1359,493162
43138,6737,1265,1210,64354,363459,59356,3955,2556,1450,981,657442
40516,4821,2103,1438,73467,298358,69484,3171,1658,824,1513,398734
56365,3141,2360,1906,67563,296716,58392,2749,1537,863,535,335686
42156,4457,1849,1324,59495,459209,79621,3000,1822,1964,800,460944
56355,3607,2103,1552,88105,440462,50464,2427,2217,565,752,457369
60280,4282,1117,1932,61622,408066,84662,2061,1858,1522,1211,365979
58111,4446,1203,1533,87568,329952,86477,2327,2221,551,1761,415280
55728,6591,1131,1922,81125,380296,50263,3455,1240,1479,1112,376975
50949,3331,2482,1044,60219,251902,65737,2421,1110,579,1324,242906
52097,4456,2706,1394,60066,296951,55420,2437,2332,1275,1221,414105
64635,4523,2459,1599,58357,423477,60041,3483,1548,1640,564,443049
46116,3215,2162,1692,70014,322563,61559,3169,2478,757,1704,552419
56702,5207,1439,1304,78574,263392,66915,2476,1166,822,1723,259677
56562,5414,1156,1629,84940,484505,78123,2513,2788,1522,630,560236
59543,3225,2134,1437,70023,282539,80014,3910,1674,647,730,475133
55157,3445,1196,1640,75661,422959,87523,3425,1128,1981,1855,394763
66110,5170,2091,1225,85396,444491,79194,2380,1932,1089,1819,419135
76712,4346,1295,1330,77336,277652,57813,3892,1421,1764,791,409708
77537,3438,1519,1463,59827,348378,64123,2666,2181,1501,1636,445576
71196,6063,1028,1536,59983,456566,88676,3691,1089,1488,1308,408867
73070,3039,2562,1040,72404,379570,56258,3513,1825,1068,1125,483801
78110,4068,1029,1461,81509,386732,85721,2838,1583,1923,1003,407820
52064,3027,1803,1837,80617,465324,71324,2523,2258,615,1528,481494
55393,5266,2776,1369,73566,296656,77813,2884,1788,875,1730,409019
66715,5886,2133,1992,59764,354277,89098,3958,2819,1887,1109,722151
48339,5629,1904,1249,51204,468860,54798,3557,2768,1013,1868,683381
46229,3843,2469,1296,66068,489747,70511,2807,1404,1963,1294,415280
67205,5511,1646,1282,86023,355975,62206,3626,2393,1615,1972,598336
44024,6105,1038,1981,57615,352443,55718,2536,1143,1658,1669,295645
75386,5273,2879,1740,68603,416862,62730,3242,2474,1759,1671,572998
59923,5788,2664,1811,67904,433351,85785,3893,2268,1806,545,620531
51168,4068,1043,1040,76405,392318,51231,2005,1368,897,639,308838
43232,5436,1096,1435,70792,421402,80994,3705,2975,1108,1300,735630
57800,6233,2625,1925,88427,429889,74408,2844,2472,1904,550,547193
56963,6666,2853,1947,61951,300241,52808,2384,1656,906,1160,322859
60805,4099,1807,1362,77943,268113,89720,2958,2634,868,502,523676
71984,6486,1538,1175,88489,443795,75153,3207,2274,1872,1998,554893
76552,3292,2403,1596,57294,303219,73618,2016,2162,1664,1152,358798
78116,3178,1256,1556,50715,431348,68874,3044,1233,1321,1407,362704
69539,6201,1952,1508,80334,401389,77593,3045,2969,1290,787,636180
70091,3952,1269,1312,72068,274134,84939,2633,2089,1755,1436,396682
56231,3203,2848,1429,85894,402453,73688,3121,2109,1765,1662,498262
48703,3787,2273,1451,64934,353991,77728,3599,2035,812,1954,527565
53328,4983,2417,1151,54541,351577,72644,2468,1197,1491,1143,306074
56934,6677,1629,1240,69221,257251,61604,3299,2925,885,1484,589635
50829,6241,1158,1254,61214,327660,74608,2613,1132,563,1705,292144
76971,6998,2661,1174,81540,426233,50793,2330,1342,1250,1433,353914
47269,4334,1257,1343,65134,392791,53535,3677,1487,1213,1071,444722
43365,5716,2140,1147,65868,444902,84063,3349,2283,924,1474,559275
45472,6985,1366,1772,88357,456016,83677,3708,1154,1662,1429,419102
64826,5802,2900,1496,72191,261712,61734,3053,1868,736,970,410633
57451,4392,1541,1766,61869,343587,72176,3149,1086,1950,1257,325483
47235,5337,2662,1982,58658,469084,85917,2485,1803,1445,871,420349
58261,5354,2263,1900,71060,458684,56566,3714,1929,1303,936,552200
72764,4494,2591,1740,68420,415407,75519,3136,2338,839,828,551478
54295,4309,1806,1934,68822,373674,80817,3656,2331,1579,551,586871
68639,3520,1533,1506,86372,322714,79963,2244,1969,1890,1333,379018
69891,3957,2983,1775,87800,363714,78046,2149,2379,1400,1691,422380
75219,5733,2215,1427,63169,381943,56727,2022,2788,976,1117,446786
40293,6315,1140,1107,76317,307033,53244,2048,2332,1973,1833,369990
76474,4714,2106,1579,52821,422099,87726,2588,1989,1051,1357,447349
79049,6257,1302,1603,53031,451478,84304,2133,1321,867,682,345457
76797,4042,2380,1371,75274,255806,54439,2265,2803,1328,658,443962
41715,4177,2016,1566,87156,444525,65081,3618,2975,1300,1719,724874
58929,6662,2341,1515,51927,479400,53515,2002,2828,929,1657,470711
69509,5284,2742,1762,77749,374666,52365,3719,2066,903,1528,543689
41809,6047,2717,1894,60325,465461,55355,2448,1749,1061,1682,414875
76182,4198,2695,1617,68280,300751,50305,2497,1628,1803,1978,347028
76928,6320,1725,1345,81711,288050,61737,2962,2245,651,712,476199
79416,6347,1356,1242,51954,261258,81560,2241,1879,1914,728,339873
71162,3024,1826,1997,51867,308380,64750,3215,2749,552,1161,581632
68343,5068,1722,1688,62078,339547,55039,2728,2874,882,1391,536740
48255,3859,1135,1371,74820,461602,65896,2560,1092,1927,1608,328582
76441,3149,2936,1125,54160,362335,86825,3746,2626,1690,1743,660939
44770,4928,1957,1415,71754,433278,53469,3828,2993,1806,1701,748835
49134,6824,1702,1062,76204,374477,71180,2869,2878,766,1808,581061
79431,4138,2919,1034,69486,314848,72976,3774,2669,1932,1755,640320
40410,5386,1894,1135,67600,324542,78083,3604,2176,1892,787,556742
69088,6903,2882,1621,60495,480659,88585,2472,2407,1027,579,507313
52939,6432,1274,1755,50877,266664,60691,2922,2058,1999,597,421278
77065,6138,1715,1085,61440,470174,81532,3099,1724,1271,1376,466305
75202,3098,1824,1963,85478,303650,62166,3021,2074,1144,1938,451210
43049,5423,2783,1991,78973,278377,73163,2682,1183,776,923,292194
47146,6040,1201,1650,61465,370395,57296,2270,2226,638,1057,401036
59119,4692,2002,1097,83484,270831,85190,2691,2203,691,665,429371
63714,3650,2753,1087,62141,342176,65328,2176,2665,1621,1335,432427
42684,3435,2437,1145,53941,316734,75582,3397,1904,788,1381,464016
69661,4900,2768,1305,66504,334241,84479,3831,2101,1964,589,547904
51888,4776,2336,1041,71331,370200,70260,2550,2687,695,881,517933
42469,6438,2109,1604,55071,382483,84969,3803,1331,1006,1900,400662
51612,3586,2763,1038,71940,373363,81762,3421,1304,590,1869,389595
74790,6799,2543,1300,69193,335860,59515,3367,2984,1422,700,654962
53668,6154,1828,1570,86698,270556,70100,2697,2166,1923,1647,439517
71242,5905,1310,1662,82535,441496,89187,2962,1571,1160,1336,434978
73721,4114,1735,1409,85363,339880,50366,2222,1985,630,977,377311
63612,4524,2779,1002,89345,390007,58014,3051,1531,511,607,400955
49017,6241,2601,1416,58956,393920,54539,3351,1375,685,1050,400572
61548,3992,1186,1036,63617,258266,71587,3804,1128,1612,1389,348324
49046,3683,1343,1416,52162,483339,82100,2348,1738,1739,1032,410214
69086,5686,2336,1020,77569,251474,71357,2782,2754,1565,1964,509331
50931,3961,1894,1438,57417,445052,80467,2237,2967,1365,597,527359
53231,5708,2454,1141,76875,421295,71677,2419,1630,971,1356,378789
54636,4302,1814,1975,77357,460723,89642,3762,1503,1755,1217,484054
55849,5574,2219,1100,69502,457771,56384,2355,1271,1182,1285,340402
40576,6014,2462,1864,59690,274090,54508,3794,2714,1514,642,636063
74257,6166,2152,1057,57473,491748,79681,3787,2180,943,1842,617031
50014,5449,2374,1310,54971,315238,84504,2292,2753,658,1510,459468
41717,5300,2877,1976,76224,429033,52170,2005,1927,690,1621,388342
67532,6711,1076,1407,82525,402684,82068,2786,1363,1712,964,367263
53801,6455,1837,1990,72535,420397,71995,3526,2774,895,538,677731
51607,3151,1053,1094,83151,322657,52089,3902,1017,1819,1199,339051
47512,3058,2733,1206,57300,493494,65921,3366,1306,1918,687,417712
49592,5185,1540,1899,82735,361370,51891,2730,1230,785,1201,328321
70051,3149,2089,1003,70971,307850,79947,2461,2201,986,1703,415774
56049,4681,2036,1067,65990,406923,89037,2621,2643,502,1410,518464
65041,6508,2019,1593,58981,483677,83936,2469,2191,1777,631,472812
49678,6831,1376,1658,51772,454397,66723,3147,1282,1498,1273,378886
79468,6604,2341,1676,62348,417482,50284,2370,2463,1176,1710,463868
60443,4052,1577,1607,80953,395597,77299,2728,2088,559,1288,459499
60988,5019,1002,1382,77540,385755,65105,2924,2381,680,1125,508607
43310,6775,2302,1923,60291,330389,63665,2907,2318,691,1594,486836
53366,5120,1716,1623,57020,452368,66125,3794,1521,1236,839,482131
40763,6198,1491,1908,65995,392265,88491,3902,2179,1369,1674,605113
76377,4832,1715,1316,70496,267203,55410,2612,2604,749,1937,478111
47965,4862,2791,1675,57502,317975,52135,3448,2919,648,1168,636370
60483,6220,1769,1903,72568,395186,54122,2783,2900,1274,1301,579812
76179,3239,2616,1340,80066,364174,53415,2485,2755,1263,711,493464
42421,3873,2396,1970,73542,374153,71525,2329,2050,1738,1685,402866
74155,5488,1051,1911,70279,268684,72998,2081,1742,1710,1150,316805
68007,3674,2383,1349,60231,382266,51843,2814,1178,639,1504,324375
46889,5434,2224,1753,86621,345961,57893,2184,2214,672,943,395304
45935,5476,1989,1326,59901,400043,58162,3636,2699,1077,1247,663580
69531,6970,2050,1222,82763,428913,67937,2009,2553,1945,629,438002
68479,5495,1590,1139,87163,445938,85784,3011,2961,1438,900,635101
67517,6740,1315,1619,80710,438228,78258,2698,1994,1622,1761,462577
73445,4841,1539,1423,63136,267918,60709,2956,1493,1887,1015,355553
71876,4944,2493,1218,78545,377737,56759,2257,1918,1923,727,405783
74175,4978,1022,1136,50314,453316,61109,3945,1331,848,1806,464491
40285,6431,1785,1152,60808,344444,58721,2484,2615,537,1305,467916
69351,6921,2225,1627,85087,293452,87846,3914,2449,1021,1673,632359
71413,3829,2524,1340,66690,336952,57361,3225,2814,663,783,602354
47313,5628,2954,1943,51648,407011,59913,3830,1112,579,1057,397344
66794,4603,1008,1055,64155,452167,57301,3546,2301,1902,813,595682
76136,5810,1198,1967,63838,297752,89122,2806,2153,1692,1874,458654
42925,6575,2532,1737,51213,350664,65191,2983,1996,613,1100,443547
45186,4412,1579,1991,84256,426285,87819,2104,2928,1484,1009,487494
47157,6890,1736,1838,51008,464294,60478,2691,2237,1854,557,494821
56318,3486,1072,1326,67812,462515,57320,2344,2916,1277,1635,529842
71979,4029,2825,1005,79820,407327,85889,3829,2267,584,612,600543
41485,4811,1592,1848,59405,322874,62131,2995,1716,1483,1756,405022
61289,3161,2242,1398,69337,334339,67029,2969,2568,615,1285,540613
59890,4076,2078,1092,52014,269667,58641,2956,1974,552,1807,431711
69638,4918,1700,1915,57398,293574,80713,3278,1180,1375,1519,324815
74271,5393,2847,1665,85724,267147,78846,3353,1744,926,1299,425153
79079,6428,1114,1835,89426,265954,50380,2597,1278,1831,1520,287530
78719,4517,1170,1205,82919,384314,54216,3151,2168,1070,1467,502683
51030,6142,2272,1822,67721,273483,82258,3770,1755,1910,1672,464940
72408,3673,2343,1397,62754,480453,52601,3430,2649,1212,1871,638356
73903,6327,1684,1830,57091,343872,77481,2756,2250,1589,1502,467350
57352,5143,2436,1840,59096,338978,85605,3787,1039,676,677,353914
79862,5109,1458,1667,52239,463343,86609,3421,2885,1309,926,692817
69396,4252,2008,1956,61889,425889,66408,3346,2445,950,678,595321
61736,3526,1888,1679,72951,415601,60330,3750,1497,1618,1744,450534
67062,6822,1878,1924,78545,290377,61694,2919,2334,983,951,478748
62991,3955,2628,1923,71014,470082,67156,2210,2825,1099,1406,506150
48897,3585,1062,1466,70898,397339,67112,3651,2678,722,1952,662829
62464,4352,2454,1566,53875,451312,81384,2473,1612,1263,1572,396395
78872,4373,2650,1550,62499,475110,52228,2168,1345,1468,1115,342486
43016,3491,2022,1978,82479,400934,57717,3591,2001,1691,839,544787
42864,5416,1782,1459,60432,302198,68422,2280,2884,1996,1583,460607
59044,4639,1491,1243,80371,425546,88116,3521,2859,1635,1724,680833
72158,4547,1590,1324,57576,277541,64002,3946,2525,1059,689,624213
55943,5190,2220,1058,77458,433792,87720,3366,1626,502,614,461477
75090,4450,2482,1819,71894,304738,61598,2427,2231,826,1485,421484
71717,6621,1340,1400,58081,393891,52170,3108,1565,1618,1810,408598
59377,5766,2216,1813,50999,418533,73025,2064,2122,586,1254,396760
67438,5585,2111,1266,72090,285461,59229,3059,2725,835,1165,549981
64047,5849,1668,1947,72418,478288,51680,2708,2175,1397,880,483540
72154,4741,2314,1165,76009,425928,60970,3978,2548,542,843,686571
75514,6823,2123,1248,75975,263483,83516,2812,2599,694,683,498520
42649,4520,1203,1375,51683,498427,89947,3162,2161,504,1046,539961
66233,5383,2988,1088,59455,374677,51865,2828,2250,1631,1855,477562
51139,6688,1373,1940,51505,360285,82984,2192,2046,1334,521,364033
68831,3518,2793,1579,64331,482043,68726,2303,2116,558,1167,445024
57106,6728,2426,1277,79106,403504,64480,2546,1423,1738,1131,351207
72999,4443,2320,1443,86326,312901,70950,2787,2904,1483,1368,554742
53864,4363,1132,1925,86893,377394,84392,3877,1812,855,1444,531309
